Rank,Land Area (sq mi),City,State,Population
381,55.41,Rapid City, SD,"70,126"
382,55.37,Gila Bend, AZ,"1,965"
383,55.37,Pittsburgh, PA,"306,045"
384,55.35,Murfreesboro, TN,"114,660"
385,55.29,West Palm Beach, FL,"102,283"
386,55.28,Excursion Inlet, AK,36
387,55.13,Augusta, ME,"18,898"
388,55.13,Albany, GA,"76,946"
389,55.09,Palm Beach Gardens, FL,"50,147"
390,55.03,Thousand Oaks, CA,"128,126"
391,54.61,Manley Hot Springs, AK,80
392,54.59,Rochester, MN,"109,252"
393,54.35,Cary, NC,"146,041"
394,54.28,Fort Collins, CO,"149,627"
395,54.12,Norfolk, VA,"244,745"
396,54.00,Fritz Creek, AK,"1,774"
397,53.97,Minneapolis, MN,"394,424"
398,53.93,Alturas, FL,"3,948"
399,53.86,Tyler, TX,"99,344"
400,53.85,Fayetteville, AR,"77,264"
401,53.80,High Point, NC,"106,797"
402,53.74,Meridian, MS,"40,809"
403,53.73,Jackson, TN,"67,190"
404,53.67,Decatur, AL,"55,641"
405,53.64,Pueblo, CO,"107,706"
406,53.58,Killeen, TX,"134,030"
407,53.52,Hot Springs Village, AR,"13,510"
408,53.51,Newberry, FL,"5,185"
409,53.39,Hilo, HI,"44,549"
410,53.39,Hattiesburg, MS,"46,629"
411,53.32,Estell Manor, NJ,"1,684"
412,53.21,Cold Bay, AK,44
413,53.01,Reserve, WI,524
414,52.91,Central High, OK,"1,173"
415,52.78,Bondurant, WY,51
416,52.72,Santa Clarita, CA,"179,030"
417,52.71,Conroe, TX,"61,268"
418,52.45,Florence, AZ,"26,513"
419,52.12,Rosamond, CA,"18,658"
420,51.98,Saint Paul, MN,"291,728"
421,51.92,White Hills, AZ,379
422,51.72,Hope, AK,57
423,51.70,Kronenwetter, WI,"7,330"
424,51.50,North Little Rock, AR,"64,731"
425,51.49,Wilmington, NC,"110,100"
426,51.41,Hampton, VA,"136,904"
427,51.30,Bluffton, SC,"13,979"
428,51.29,League City, TX,"88,979"
429,51.27,Moreno Valley, CA,"198,872"
430,51.21,Trego, MT,714
431,51.20,Hurricane, UT,"14,338"
432,51.14,Tupelo, MS,"35,345"
433,50.65,Scottsboro, AL,"14,779"
434,50.63,Port Heiden, AK,84
435,50.50,Gastonia, NC,"72,664"
436,50.29,Long Beach, CA,"468,594"
437,50.18,Chattahoochee Hills, GA,"2,511"
438,50.01,Hat Creek, CA,215
439,49.94,Ontario, CA,"166,892"
440,49.88,Ardmore, OK,"24,877"
441,49.87,Gary, IN,"79,165"
442,49.84,Anaheim, CA,"342,973"
443,49.81,Kingsport, TN,"52,835"
444,49.75,Midlothian, TX,"19,590"
445,49.72,Tacoma, WA,"201,794"
