Rank,Land Area (sq mi),City,State,Population
11376,2.76,Anson, TX,"2,069"
17342,1.3,Anson, ME,734
6088,6.02,Ansonia, CT,"19,128"
21512,0.79,Ansonia, OH,962
16356,1.47,Ansonville, NC,650
15385,1.66,Ansted, WV,"1,593"
22688,0.65,Antares, AZ,127
5416,6.84,Antelope, CA,"47,798"
12798,2.29,Antelope, SD,"1,211"
24401,0.48,Antelope, OR,8
27583,0.21,Antelope, MT,23
2687,13.32,Antelope Hills, WY,97
7318,4.91,Antelope Valley-Crestview, WY,"1,762"
4666,7.98,Anthem, AZ,"23,995"
22201,0.71,Anthon, IA,713
5762,6.4,Anthony, TX,"5,218"
8726,3.96,Anthony, NM,"9,462"
10444,3.13,Anthony, KS,"2,340"
28647,0.11,Anthonyville, AR,216
28215,0.15,Antietam, MD,115
5645,6.54,Antigo, WI,"8,075"
3627,10.11,Antimony, UT,141
1066,28.35,Antioch, CA,"105,630"
4535,8.21,Antioch, IL,"14,395"
28716,0.11,Antioch, OH,119
28098,0.16,Antler, ND,9
11460,2.73,Antlers, OK,"2,437"
24200,0.5,Antoine, AR,144
21546,0.78,Anton, TX,"1,280"
14824,1.78,Anton Chico, NM,55
25201,0.4,Antonito, CO,774
8881,3.88,Antreville, SC,120
7874,4.51,Antrim, NH,"1,384"
17109,1.33,Antwerp, OH,"1,583"
19209,1.03,Antwerp, NY,540
3825,9.68,Anvik, AK,86
1108,27.59,Anza, CA,"2,356"
