Rank,Crime Index,City,State,Population
5490,995,Hernando, MS,"14,723"
5491,995,Thatcher, AZ,"4,894"
5492,995,Rainbow City, AL,"9,623"
5493,995,Livonia, MI,"95,888"
5494,994,Biscayne Park, FL,"3,172"
5495,994,Palmerton, PA,"5,382"
5496,994,Lincoln, ME,"2,947"
5497,994,Horseshoe Bay, TX,"3,487"
5498,994,Shelby, MS,"2,224"
5499,993,Monroe, WI,"10,807"
5500,993,Ojai, CA,"7,558"
5501,993,Folsom, LA,666
5502,992,Sneads, FL,"2,061"
5503,992,Fountain Valley, CA,"56,440"
5504,992,Breaux Bridge, LA,"8,232"
5505,992,Waynesburg, OH,962
5506,992,Holdrege, NE,"5,506"
5507,992,Harvey, ND,"1,830"
5508,992,Grain Valley, MO,"13,037"
5509,991,Belfield, ND,958
5510,991,Mclouth, KS,"1,204"
5511,991,Laingsburg, MI,"1,283"
5512,991,Avalon, PA,"4,704"
5513,991,Plains, MT,766
5514,991,Ashland, AL,"2,494"
5515,991,Middletown, CT,"47,424"
5516,991,Bucksport, ME,"2,453"
5517,990,Walkerton, IN,"1,982"
5518,990,Hortonville, WI,"2,701"
5519,990,Eudora, KS,"6,152"
5520,990,Monroeville, PA,"28,365"
5521,990,Fredericktown, OH,"2,487"
5522,989,Winters, TX,"2,532"
5523,989,Berkeley, IL,"5,219"
5524,988,Monterey Park, CA,"60,966"
5525,988,Marysville, KS,"3,301"
5526,988,Kirkwood, MO,"27,587"
5527,987,Broken Arrow, OK,"101,917"
5528,987,Jackson, MN,"3,300"
5529,987,Waynesburg, PA,"4,145"
5530,986,Windom, MN,"4,616"
5531,986,Netcong, NJ,"3,248"
5532,986,Bruceton, TN,"1,779"
5533,986,Perry, IA,"7,986"
5534,986,Northbridge, MA,0
5535,986,Ashland, MO,"3,796"
5536,985,Iowa Falls, IA,"5,193"
5537,985,Safety Harbor, FL,"17,017"
5538,985,Pierce City, MO,"1,283"
5539,985,Bertram, TX,"1,545"
5540,985,Elk River, MN,"23,346"
5541,984,John Day, OR,"1,663"
5542,984,Bloomingdale, IL,"22,208"
5543,984,Fairfax, OK,"1,639"
5544,983,Hoosick Falls, NY,"3,459"
5545,983,Saint Francis, WI,"9,488"
5546,983,South Pasadena, CA,"25,914"
5547,983,Saint Peter, MN,"11,403"
5548,982,Groveland, FL,"9,381"
5549,982,Colonie, NY,"7,869"
5550,982,Cotter, AR,"1,097"
5551,982,Loudonville, OH,"2,777"
5552,982,Noble, OK,"6,602"
5553,982,Clayton, NJ,"8,225"
5554,982,Orting, WA,"6,941"
5555,982,Henry, TN,480
5556,982,Peru, IN,"11,199"
5557,982,Wallis, TX,"1,137"
5558,981,Montgomery City, MO,"2,804"
5559,981,Salem, AR,"1,506"
5560,981,Shenandoah, VA,"2,134"
5561,981,Potterville, MI,"2,621"
5562,981,Winters, CA,"6,843"
5563,981,Belvidere, IL,"25,713"
5564,980,Williams, CA,"5,166"
5565,980,Mclaughlin, SD,574
5566,980,Morris, MN,"5,324"
5567,980,Salem, VA,"25,120"
5568,980,Somerset, TX,"1,488"
5569,980,Manvel, TX,"6,159"
5570,980,Meeker, CO,"2,562"
5571,980,Morgan Hill, CA,"39,875"
5572,980,Minden, LA,"12,988"
5573,979,Carterville, MO,"1,806"
5574,979,Harmony, PA,797
5575,979,Hastings, MN,"22,355"
5576,979,Olmos Park, TX,"2,023"
5577,979,Lees Summit, MO,"92,813"
5578,979,Cottonwood, AL,"1,296"
5579,979,Apache, OK,"1,315"
5580,979,East Rochester, NY,"6,687"
5581,979,Rainier, OR,"1,908"
5582,978,Woodstock, GA,"25,672"
5583,978,Bellmawr, NJ,"11,538"
5584,978,Lady Lake, FL,"14,138"
5585,978,Brown City, MI,"1,243"
5586,978,Lorena, TX,"1,766"
5587,978,Negaunee, MI,"4,608"
5588,978,Progreso, TX,"5,709"
5589,978,Altoona, WI,"6,940"
5590,977,Wake Forest, NC,"33,319"
5591,977,Concord, MI,"1,124"
5592,977,Puryear, TN,785
5593,977,Carrollton, AL,"1,138"
5594,977,Souderton, PA,"6,668"
5595,977,Cleveland Heights, OH,"45,657"
5596,977,Haines, AK,"1,951"
5597,976,California, MO,"4,342"
5598,976,Wilsonville, OR,"20,335"
5599,976,Loretto, TN,"1,911"
5600,976,Green Island, NY,"2,612"
5601,976,Bono, AR,"2,488"
5602,976,Girard, IL,"1,804"
5603,974,Hackleburg, AL,"1,609"
5604,974,Tunkhannock, PA,"2,041"
5605,974,Adel, IA,"3,940"
5606,974,Beaverton, OR,"92,593"
5607,974,Lakewood, OH,"51,434"
5608,974,Rockford, MI,"5,876"
5609,974,Parkville, MO,"5,811"
5610,974,Palo Alto, CA,"65,998"
5611,974,Novato, CA,"53,451"
5612,974,Celina, TN,"1,497"
5613,973,Torrance, CA,"147,181"
5614,973,Whitman, MA,0
5615,973,Pembroke, KY,766
5616,973,Coral Springs, FL,"125,150"
5617,972,Ellsworth, WI,"3,248"
5618,972,Frisco, TX,"130,499"
5619,972,Eldora, IA,"2,707"
5620,972,Pelham, AL,"22,106"
5621,972,Center, CO,"2,077"
5622,972,Marietta, PA,"2,595"
5623,971,Charles Town, WV,"5,464"
5624,971,Burkburnett, TX,"10,915"
5625,971,Tustin, CA,"77,765"
5626,971,Strasburg, OH,"2,726"
5627,971,Englewood, NJ,"27,435"
5628,971,Conshohocken, PA,"7,864"
5629,971,Northlake, TX,"2,410"
5630,971,Worthington, MN,"12,920"
5631,970,Paintsville, KY,"4,254"
5632,969,Beaver Dam, WI,"16,331"
5633,969,Lewisville, AR,"1,215"
5634,969,Edgerton, MO,620
5635,969,Wabasha, MN,"2,693"
5636,969,Brookland, AR,"2,402"
5637,969,Exeter, PA,"5,633"
5638,969,Plattsmouth, NE,"6,473"
5639,969,Fellsmere, FL,"5,312"
5640,969,Encinitas, CA,"61,008"
5641,969,Rio Hondo, TX,"2,146"
5642,968,Gahanna, OH,"33,786"
5643,968,Alton, MO,"1,173"
5644,968,Rotterdam, NY,"20,956"
5645,968,Sabina, OH,"2,327"
5646,967,Swoyersville, PA,"5,038"
5647,967,Hull, MA,"10,324"
5648,967,Leetsdale, PA,"1,253"
5649,967,New Florence, MO,750
5650,967,Rockwall, TX,"39,948"
5651,967,Delavan, IL,"1,543"
5652,967,Telford, PA,"4,910"
5653,967,Menifee, CA,"81,658"
5654,967,Mechanicville, NY,"5,207"
5655,967,West Lake Hills, TX,"3,225"
5656,966,Slocomb, AL,"1,936"
5657,966,Eupora, MS,"2,163"
5658,966,Winslow, ME,"7,709"
5659,966,Inver Grove Heights, MN,"34,258"
5660,966,Sturgis, SD,"6,652"
5661,965,Amsterdam, NY,"18,348"
5662,965,Spiro, OK,"2,502"
5663,965,Pickensville, AL,578
5664,965,Loudon, TN,"5,606"
5665,964,Fairmount, IN,"2,998"
5666,964,Atherton, CA,"7,034"
5667,964,Buellton, CA,"4,924"
5668,964,Ocean Gate, NJ,"2,072"
5669,964,Saint James, MN,"4,565"
5670,963,Montclair, NJ,"36,945"
5671,963,Hillview, KY,"7,785"
5672,963,East Rutherford, NJ,"9,298"
5673,963,Effingham, NH,0
5674,963,Amity, OR,"1,568"
5675,962,Rangeley, ME,0
5676,962,Apalachicola, FL,"2,129"
5677,962,Glencoe, KY,456
5678,962,Childress, TX,"6,140"
5679,962,Birch Tree, MO,639
5680,961,Ebensburg, PA,"3,295"
5681,961,Cleves, OH,"3,354"
5682,961,Portland, MI,"3,899"
5683,961,Port Gibson, MS,"1,716"
5684,961,Lynchburg, OH,"1,290"
5685,960,Montesano, WA,"3,915"
5686,960,Corning, AR,"3,267"
5687,960,New Hampton, NH,357
5688,960,Mooreland, OK,"1,590"
5689,960,Pea Ridge, AR,"4,956"
5690,960,Gerald, MO,"1,358"
5691,960,White Salmon, WA,"2,221"
5692,960,Dublin, VA,"2,625"
5693,960,Springville, AL,"4,140"
5694,959,North East, PA,"4,253"
5695,959,Catawba, NC,706
5696,959,Inlet, NY,0
5697,959,Boyertown, PA,"4,048"
5698,959,Vienna, IL,"1,383"
5699,959,Fairmount, GA,773
5700,958,Westernport, MD,"1,807"
5701,958,Draper, UT,"44,656"
5702,958,New Brighton, MN,"21,899"
5703,957,Lutcher, LA,"3,471"
5704,957,Covington, PA,0
5705,957,Falls Church, VA,"13,074"
5706,957,Parksley, VA,941
5707,956,Zeeland, MI,"5,566"
5708,956,West Hartford, CT,"63,396"
5709,955,Medford, MA,"56,981"
5710,955,Benbrook, TX,"21,898"
5711,955,Forest Lake, MN,"18,933"
5712,955,Grantsburg, WI,"1,227"
5713,954,Gillespie, IL,"3,346"
5714,954,Princeton, IL,"7,698"
5715,954,Jonesborough, TN,"5,138"
5716,954,Chatham, MA,"1,470"
5717,954,Broken Bow, NE,"3,525"
5718,954,West Alexandria, OH,"1,799"
5719,953,Dilworth, MN,"4,104"
5720,953,Leon, KS,572
5721,953,Yukon, OK,"24,127"
5722,953,Olathe, KS,"129,913"
5723,953,Wallkill, NY,"2,254"
5724,953,Cloverdale, CA,"8,692"
5725,953,Columbus, MT,"2,250"
5726,953,Elk City, OK,"12,198"
5727,952,Cherokee, IA,"5,203"
5728,952,Methuen, MA,"48,159"
5729,951,Woodbury, NY,"8,553"
5730,951,Luther, OK,"1,170"
5731,951,Audubon Park, NJ,"1,051"
5732,951,Kennett Square, PA,"6,123"
5733,951,Fort Jones, CA,848
5734,950,Indian Shores, FL,"1,392"
5735,950,Amery, WI,"2,890"
5736,950,Hughson, CA,"6,895"
5737,950,West Long Branch, NJ,"8,391"
5738,950,Clayton, OK,729
5739,949,Maize, KS,"3,984"
5740,949,Colona, IL,"5,057"
5741,949,El Paso, IL,"2,582"
5742,949,Fair Haven, VT,"2,347"
5743,949,Sunset, UT,"5,145"
5744,949,Round Rock, TX,"106,972"
5745,949,Oglesby, IL,"3,667"
5746,949,Surprise, AZ,"121,648"
5747,949,Yucaipa, CA,"52,406"
5748,948,Malden, MO,"4,425"
5749,948,French Settlement, LA,"1,283"
5750,948,Blackduck, MN,703
5751,948,Sulphur Springs, TX,"15,673"
5752,947,Mineral Springs, AR,983
5753,947,Guin, AL,"2,104"
5754,947,Montrose, MI,"1,735"
5755,947,Moonachie, NJ,"2,741"
5756,947,Winnemucca, NV,"7,736"
5757,947,Plains, PA,"4,020"
5758,947,Mayfield, OH,"3,432"
5759,947,Greendale, IN,"4,545"
5760,947,Clinton, ME,"1,254"
5761,946,Ilion, NY,"7,968"
5762,946,Willacoochee, GA,"1,632"
5763,946,Southampton, NY,"3,154"
5764,946,Dunellen, NJ,"7,317"
5765,945,Dormont, PA,"8,565"
5766,945,Groton, CT,"9,348"
5767,945,Liberty, MO,"29,806"
5768,945,Moscow, ID,"24,406"
5769,945,New Rochelle, NY,"78,476"
5770,945,Pulaski, NY,"2,200"
5771,944,Oquawka, IL,"1,380"
5772,944,Greece, NY,"14,482"
