Rank,Crime Index,City,State,Population
650,"3,104",Clinton, SC,"8,525"
651,"3,100",Wilmington, NC,"110,100"
652,"3,096",La Marque, TX,"14,981"
653,"3,095",Zebulon, NC,"4,590"
654,"3,095",Saint Clair, MO,"4,708"
655,"3,090",Norcross, GA,"15,799"
656,"3,090",Saint Augustine, FL,"13,440"
657,"3,089",Addison, TX,"14,594"
658,"3,087",Elizabethtown, NC,"3,611"
659,"3,084",Borger, TX,"13,121"
660,"3,083",Coatesville, PA,"13,130"
661,"3,081",Lafayette, LA,"123,528"
662,"3,077",East Rochester, PA,568
663,"3,076",Dolton, IL,"23,262"
664,"3,076",Ashburn, GA,"3,935"
665,"3,076",Central City, CO,681
666,"3,073",Lancaster, PA,"59,368"
667,"3,069",Pottstown, PA,"22,519"
668,"3,064",Sedalia, MO,"21,429"
669,"3,063",Blackshear, GA,"3,485"
670,"3,062",Three Rivers, MI,"7,765"
671,"3,060",West Pelzer, SC,844
672,"3,059",Barboursville, WV,"4,075"
673,"3,057",Tucumcari, NM,"5,237"
674,"3,057",Independence, LA,"1,913"
675,"3,055",Roswell, NM,"48,568"
676,"3,051",Seaside, OR,"6,481"
677,"3,048",Winter Haven, FL,"35,070"
678,"3,045",Indian Beach, NC,222
679,"3,043",Millville, NJ,"28,603"
680,"3,042",Burlington, NC,"51,740"
681,"3,042",Moline Acres, MO,"2,299"
682,"3,041",Saint Stephen, SC,"1,785"
683,"3,039",Chesnee, SC,785
684,"3,039",Chickasaw, AL,"6,026"
685,"3,036",Bridgeton, MO,"11,654"
686,"3,035",Ada, OK,"17,061"
687,"3,032",Holly Hill, SC,"1,247"
688,"3,032",Norristown, PA,"34,454"
689,"3,027",Franklin, LA,"7,483"
690,"3,026",Surfside Beach, SC,"4,017"
691,"3,026",Paragould, AR,"26,859"
692,"3,021",Cambridge, OH,"10,558"
693,"3,020",Emporia, VA,"5,682"
694,"3,019",Bremerton, WA,"38,664"
695,"3,018",Monroe, NC,"33,588"
696,"3,015",Madeira Beach, FL,"4,297"
697,"3,012",Trainer, PA,"1,752"
698,"3,012",Kankakee, IL,"27,145"
699,"3,011",Forest Acres, SC,"10,533"
700,"3,010",Albemarle, NC,"15,924"
701,"3,009",Wichita, KS,"385,518"
702,"3,007",Longview, TX,"82,030"
703,"3,005",Mount Rainier, MD,"8,277"
704,"3,005",Morristown, TN,"29,152"
705,"3,004",Waller, TX,"1,956"
706,"3,003",Capitola, CA,"10,043"
707,"3,002",Abbeville, SC,"5,207"
708,"3,000",Kingsport, TN,"52,835"
709,"2,999",Ware Shoals, SC,"2,092"
710,"2,999",Live Oak, FL,"6,927"
711,"2,996",Del City, OK,"21,756"
712,"2,994",Demopolis, AL,"7,323"
713,"2,993",Edinburgh, IN,"4,023"
714,"2,989",Mount Airy, NC,"10,411"
715,"2,988",Renovo, PA,"1,180"
716,"2,988",Palm Springs, FL,"21,302"
717,"2,986",Donna, TX,"16,169"
718,"2,985",Dade City, FL,"6,548"
719,"2,984",Kaplan, LA,"4,604"
720,"2,983",Orangeburg, SC,"13,790"
721,"2,982",Hedwig Village, TX,"2,635"
722,"2,982",Farmerville, LA,"3,892"
723,"2,980",Rome, GA,"36,099"
724,"2,980",Palm Springs, CA,"45,827"
725,"2,979",Cleveland, TN,"42,331"
726,"2,978",Loris, SC,"2,459"
727,"2,977",Greensboro, FL,793
728,"2,975",Douglasville, GA,"31,573"
729,"2,972",East Ridge, TN,"21,220"
730,"2,971",Beach Haven, NJ,"1,048"
731,"2,971",Versailles, KY,"8,908"
732,"2,971",Elkhart, IN,"51,539"
733,"2,967",Alexander City, AL,"14,815"
734,"2,967",Ontario, OR,"11,148"
735,"2,967",Terre Haute, IN,"61,040"
736,"2,964",Winnfield, LA,"4,725"
737,"2,963",Herkimer, NY,"7,752"
738,"2,963",Roanoke Rapids, NC,"15,653"
739,"2,962",Albany, NY,"98,287"
740,"2,961",Pahokee, FL,"5,941"
741,"2,960",Jacksonville, TX,"14,654"
742,"2,958",Abbeville, LA,"12,341"
743,"2,958",Murray, UT,"47,909"
744,"2,958",Holly Springs, MS,"7,585"
745,"2,958",Cedartown, GA,"9,760"
746,"2,958",Syracuse, NY,"144,648"
747,"2,957",Lubbock, TX,"236,868"
748,"2,956",Ambridge, PA,"6,973"
749,"2,955",Puyallup, WA,"38,092"
750,"2,953",Lincoln, AL,"6,321"
751,"2,953",Hammond, IN,"79,585"
752,"2,952",Greensboro, NC,"276,225"
753,"2,951",Marysville, CA,"12,144"
754,"2,951",Ridgeland, SC,"4,051"
755,"2,950",Richmond, VA,"211,063"
756,"2,949",Jesup, GA,"10,275"
757,"2,947",Shawnee, OK,"30,609"
758,"2,947",Hillsborough, NC,"6,256"
759,"2,946",Knox, PA,"1,098"
760,"2,944",Gaffney, SC,"12,565"
761,"2,943",Sacramento, CA,"476,075"
762,"2,938",Durham, NC,"240,107"
763,"2,938",Jacksonville Beach, FL,"21,822"
764,"2,936",Dania, FL,0
765,"2,935",Howard City, MI,"1,849"
766,"2,935",White Cloud, MI,"1,502"
767,"2,934",Chicago, IL,"2,712,608"
768,"2,933",Doral, FL,"49,363"
769,"2,933",La Grange, NC,"2,856"
770,"2,932",Amarillo, TX,"194,930"
771,"2,929",Clinton, NC,"8,729"
772,"2,929",Sulphur, LA,"20,275"
773,"2,927",Camden, DE,"3,504"
774,"2,925",Cleveland, MS,"12,318"
775,"2,923",Lafayette, AL,"2,993"
776,"2,923",Tombstone, AZ,"1,674"
777,"2,923",New Bedford, MA,"94,873"
778,"2,922",South Bay, FL,"4,941"
779,"2,921",San Antonio, TX,"1,385,438"
780,"2,921",Lansing, MI,"114,382"
781,"2,920",Winslow, AZ,"9,570"
782,"2,919",Waite Park, MN,"7,391"
783,"2,917",Independence, MO,"117,160"
784,"2,916",Montgomery, AL,"204,095"
785,"2,916",Riverside, MO,"3,023"
786,"2,913",Santa Fe, NM,"69,245"
787,"2,912",Milton, DE,"2,656"
788,"2,907",Fruitland, MD,"5,028"
789,"2,907",Greenville, NC,"87,546"
790,"2,904",East Lansdowne, PA,"2,670"
791,"2,902",Hotchkiss, CO,"1,011"
792,"2,902",Aurora, MO,"7,475"
793,"2,901",Poughkeepsie, NY,"30,716"
794,"2,901",Shelby, NC,"20,283"
795,"2,900",Lenoir City, TN,"8,867"
796,"2,899",Sheridan, CO,"5,819"
797,"2,898",Auburn, WA,"73,403"
798,"2,898",Longview, WA,"36,589"
799,"2,897",Riverdale Park, MD,"7,119"
800,"2,896",Carrollton, GA,"25,138"
801,"2,893",Delray Beach, FL,"62,828"
802,"2,892",Dixmoor, IL,"3,635"
803,"2,892",Harleyville, SC,660
804,"2,889",Kent, WA,"122,620"
805,"2,889",Valley, AL,"9,456"
806,"2,889",Chehalis, WA,"7,265"
807,"2,888",Mansfield, OH,"47,150"
808,"2,888",Reidsville, NC,"14,249"
809,"2,887",Mccall, ID,"2,925"
810,"2,886",Portsmouth, VA,"96,007"
811,"2,886",Moncks Corner, SC,"8,711"
812,"2,882",Center, TX,"5,239"
813,"2,879",Jacksonville, AR,"28,728"
814,"2,878",Port Isabel, TX,"5,033"
815,"2,878",Hannibal, MO,"17,779"
816,"2,877",Hartwell, GA,"4,499"
817,"2,876",Paris, TX,"25,023"
818,"2,876",Warren, OH,"40,925"
819,"2,875",Sheffield, AL,"9,067"
820,"2,874",Cumberland City, TN,468
821,"2,872",Lake Placid, FL,"2,518"
822,"2,869",Fitzgerald, GA,"9,054"
823,"2,869",Big Bear Lake, CA,"5,104"
824,"2,869",Eutaw, AL,"2,856"
825,"2,868",Sweetwater, TX,"10,809"
826,"2,863",Gaylord, MI,"3,651"
827,"2,862",Whitakers, NC,916
828,"2,862",Mexia, TX,"7,502"
829,"2,862",Franklin, GA,899
830,"2,860",Lavonia, GA,"1,726"
831,"2,859",Melbourne, FL,"77,216"
832,"2,859",Leon Valley, TX,"10,658"
833,"2,859",Clarkston, GA,"7,717"
834,"2,855",Miami Shores, FL,"10,736"
835,"2,854",Zephyrhills, FL,"14,041"
836,"2,853",Thomson, GA,"6,682"
837,"2,852",Waco, TX,"127,796"
838,"2,851",Caruthersville, MO,"6,086"
839,"2,847",Ringgold, GA,"3,647"
840,"2,846",West Orange, TX,"3,460"
841,"2,845",Las Vegas, NM,"13,833"
842,"2,845",Keokuk, IA,"10,742"
843,"2,843",Port Vincent, LA,907
844,"2,842",Pocomoke City, MD,"4,170"
845,"2,840",Lagrange, GA,0
846,"2,839",Durant, OK,"16,507"
847,"2,838",Jonesville, NC,"2,405"
848,"2,837",Seattle, WA,"637,850"
849,"2,835",Dickson, TN,"14,814"
850,"2,833",Topeka, KS,"127,660"
851,"2,832",Alamosa, CO,"9,427"
852,"2,831",Grand Junction, TN,415
853,"2,830",Queen City, TX,"1,883"
854,"2,829",Pensacola, FL,"52,505"
855,"2,829",Greenbelt, MD,"23,612"
856,"2,828",Englewood, CO,"31,298"
857,"2,828",Rogersville, TN,"4,410"
858,"2,823",Bossier City, LA,"64,895"
859,"2,823",Greeleyville, SC,513
860,"2,822",Corpus Christi, TX,"312,680"
861,"2,821",Spindale, NC,"4,296"
862,"2,821",Columbia, TN,"35,207"
863,"2,820",Othello, WA,"7,524"
864,"2,817",Akron, MI,397
865,"2,817",Santa Cruz, CA,"62,045"
866,"2,816",Hope Mills, NC,"16,024"
867,"2,816",Livingston, TX,"5,245"
868,"2,816",Connersville, IN,"13,267"
869,"2,816",Biloxi, MS,"44,527"
870,"2,815",Modesto, CA,"205,984"
871,"2,815",Batesburg-Leesville, SC,"5,242"
872,"2,814",Porterdale, GA,"1,701"
873,"2,813",Pine Hill, AL,"1,045"
874,"2,813",Wadley, GA,"2,013"
875,"2,812",Warr Acres, OK,"10,268"
876,"2,811",Greenville, TX,"25,892"
877,"2,810",Coaling, AL,"1,778"
878,"2,810",Jonesville, LA,"2,212"
879,"2,807",Edmonston, MD,"1,395"
880,"2,806",Springdale, OH,"11,201"
881,"2,806",Norwood, OH,"19,170"
882,"2,806",Morehead City, NC,"9,030"
883,"2,803",Wildwood, FL,"6,782"
884,"2,802",Bemidji, MN,"14,319"
885,"2,798",Jacksonville, FL,"837,533"
886,"2,796",Pearson, GA,"1,898"
887,"2,794",Davenport, IA,"101,316"
888,"2,793",Osage Beach, MO,"4,395"
889,"2,793",Berkeley, CA,"115,688"
890,"2,792",Fayetteville, TN,"6,991"
891,"2,792",Port Arthur, TX,"54,685"
892,"2,788",Parker, AZ,"3,057"
893,"2,787",Leesburg, AL,"1,056"
894,"2,787",Doerun, GA,794
895,"2,786",North Topsail Beach, NC,"1,145"
896,"2,785",Artesia, NM,"11,494"
897,"2,783",Zanesville, OH,"25,444"
898,"2,781",Allentown, PA,"118,793"
899,"2,781",Seven Points, TX,"1,337"
900,"2,780",Muskogee, OK,"38,937"
901,"2,778",Williston, FL,"2,748"
902,"2,778",Bainbridge, GA,"12,600"
903,"2,777",Newport, DE,"1,064"
904,"2,776",Rockmart, GA,"4,174"
905,"2,776",West Terre Haute, IN,"2,480"
906,"2,774",Canton, MS,"13,321"
907,"2,773",Emerald Isle, NC,"3,689"
908,"2,772",Circleville, OH,"13,395"
909,"2,772",Pittsburgh, PA,"306,045"
910,"2,772",Camden, AR,"11,861"
911,"2,771",Byhalia, MS,"1,342"
912,"2,769",Hutchinson, KS,"41,946"
913,"2,769",Carbondale, IL,"26,374"
914,"2,769",West Wildwood, NJ,522
915,"2,767",Valdosta, GA,"56,324"
916,"2,766",Mobile, AL,"194,942"
917,"2,765",Peoria, IL,"115,718"
918,"2,763",Centralia, WA,"16,664"
919,"2,761",Philadelphia, MS,"7,446"
920,"2,761",Renton, WA,"95,479"
921,"2,760",D'iberville, MS,"10,161"
922,"2,757",Globe, AZ,"7,463"
923,"2,757",Elgin, SC,"1,499"
924,"2,756",Lantana, FL,"10,822"
925,"2,755",Leesville, LA,"6,656"
926,"2,755",Phenix City, AL,"35,753"
927,"2,753",Farmington, NM,"45,383"
928,"2,752",North Wildwood, NJ,"3,995"
929,"2,750",Gainesville, FL,"126,465"
930,"2,748",Kissimmee, FL,"63,392"
931,"2,746",Buckeye Lake, OH,"2,707"
932,"2,745",Parsons, KS,"10,307"
933,"2,744",Eloy, AZ,"17,062"
934,"2,744",New Bern, NC,"30,171"
935,"2,743",Houma, LA,"33,807"
936,"2,742",Show Low, AZ,"10,754"
937,"2,742",West Plains, MO,"12,176"
938,"2,742",Nashville, GA,"4,918"
939,"2,739",Atmore, AL,"10,096"
940,"2,739",Phoenix, AZ,"1,490,758"
941,"2,738",Roanoke, VA,"97,949"
942,"2,737",Foristell, MO,439
943,"2,737",Seat Pleasant, MD,"4,656"
944,"2,736",Oyster Creek, TX,"1,037"
945,"2,735",New Castle, PA,"22,883"
946,"2,735",Merriam, KS,"11,191"
947,"2,735",San Francisco, CA,"829,072"
948,"2,733",Killeen, TX,"134,030"
949,"2,732",Marianna, FL,"8,548"
950,"2,732",Hazard, KY,"5,453"
951,"2,732",Asheville, NC,"85,783"
952,"2,731",Chicago Heights, IL,"30,410"
953,"2,731",Pittsburg, KS,"20,336"
954,"2,731",East Palo Alto, CA,"28,920"
955,"2,729",Pauls Valley, OK,"6,054"
956,"2,728",Elizabeth, NJ,"126,964"
957,"2,727",Quincy, WA,"7,075"
958,"2,724",Norfolk, VA,"244,745"
959,"2,722",Federal Way, WA,"91,676"
960,"2,722",Stevenson, AL,"2,739"
961,"2,722",Anderson, CA,"10,066"
962,"2,721",Clio, SC,633
963,"2,721",Tazewell, TN,"2,088"
964,"2,719",Sandersville, GA,"5,839"
965,"2,719",Cordova, AL,"1,944"
966,"2,719",Auburndale, FL,"13,979"
967,"2,716",Fall River, MA,"88,756"
968,"2,714",Shively, KY,"15,450"
969,"2,714",Tuscaloosa, AL,"93,325"
970,"2,713",Aberdeen, WA,"16,544"
971,"2,712",Pringle, PA,927
972,"2,708",Evergreen, AL,"3,864"
973,"2,704",Troy, AL,"18,636"
974,"2,702",Birch Run, MI,"1,537"
975,"2,701",Harrington, DE,"3,643"
976,"2,700",Green Cove Springs, FL,"6,984"
977,"2,699",Jonesboro, GA,"4,661"
978,"2,698",Jerome, AZ,392
979,"2,698",Kemah, TX,"1,845"
980,"2,697",Dinuba, CA,"22,828"
981,"2,697",Homer, LA,"3,129"
982,"2,697",Fairbanks, AK,"32,100"
983,"2,697",Fordyce, AR,"4,205"
984,"2,695",New Castle, IN,"17,859"
985,"2,693",Henderson, TX,"13,723"
986,"2,691",Lauderhill, FL,"69,082"
987,"2,691",West Park, FL,"14,604"
988,"2,690",Ocilla, GA,"3,462"
989,"2,690",Walker, LA,"6,176"
990,"2,689",Stuttgart, AR,"9,269"
991,"2,689",Steele, MO,"2,290"
992,"2,689",Carter Lake, IA,"3,771"
993,"2,688",Fort Worth, TX,"778,573"
994,"2,688",Monroe, GA,"13,427"
995,"2,686",Tappahannock, VA,"2,161"
996,"2,685",Ferguson, MO,"21,151"
997,"2,684",Deland, FL,"27,872"
998,"2,684",Gridley, CA,"6,566"
999,"2,682",Nashville, AR,"4,604"
1000,"2,682",Elsa, TX,"6,232"
1001,"2,682",Des Moines, IA,"206,702"
1002,"2,682",Greeneville, TN,"15,015"
1003,"2,680",Montclair, CA,"37,685"
1004,"2,679",Hallandale, FL,0
1005,"2,677",Edgewood, PA,"3,109"
1006,"2,676",Boston, GA,"1,484"
1007,"2,676",Big Spring, TX,"27,768"
1008,"2,675",Millington, TN,"11,152"
1009,"2,672",Hayti, MO,"2,883"
1010,"2,671",Lake Hamilton, FL,"1,258"
1011,"2,670",Kennett, MO,"11,002"
1012,"2,667",Greensboro, GA,"3,389"
1013,"2,666",Union City, TN,"10,791"
1014,"2,666",Covington, GA,"13,342"
1015,"2,665",Collins, MS,"2,568"
1016,"2,665",Avon Park, FL,"8,874"
1017,"2,664",Saint Paul, MN,"291,728"
1018,"2,664",Mccomb, MS,"12,771"
1019,"2,663",Lynnwood, WA,"36,267"
1020,"2,662",Midvale, UT,"29,957"
1021,"2,661",Ozark, AL,"14,835"
1022,"2,661",Bluffton, SC,"13,979"
1023,"2,661",Southern Pines, NC,"12,782"
1024,"2,657",Willcox, AZ,"3,698"
1025,"2,657",Brooksville, FL,"7,725"
1026,"2,655",Augusta, ME,"18,898"
1027,"2,655",Sebring, FL,"10,356"
1028,"2,654",Pulaski, TN,"7,734"
1029,"2,653",Providence, RI,"178,562"
1030,"2,652",Haleyville, AL,"4,102"
1031,"2,652",Cape Girardeau, MO,"38,665"
1032,"2,651",Attalla, AL,"5,995"
1033,"2,649",Selma, CA,"23,808"
1034,"2,649",Tulare, CA,"60,663"
1035,"2,649",Sylacauga, AL,"12,786"
1036,"2,648",Chickasha, OK,"16,195"
1037,"2,647",Long Beach, WA,"1,469"
1038,"2,647",Jonesboro, AR,"70,217"
1039,"2,644",Harlingen, TX,"65,677"
1040,"2,644",Pitcairn, PA,"3,283"
1041,"2,643",Huntington Park, CA,"58,787"
1042,"2,643",Malden, WA,173
1043,"2,642",Marshall, TX,"24,424"
1044,"2,642",Kingman, AZ,"28,381"
1045,"2,642",Marion, AL,"3,587"
1046,"2,641",High Point, NC,"106,797"
1047,"2,641",Clearlake, CA,"15,121"
1048,"2,641",Saint Matthews, SC,"1,887"
1049,"2,640",Glendale, AZ,"231,978"
1050,"2,640",Troy, NY,"49,965"
1051,"2,639",Pinellas Park, FL,"49,874"
1052,"2,639",Terrell, TX,"16,146"
1053,"2,636",Many, LA,"2,818"
1054,"2,635",Fort Dodge, IA,"24,846"
1055,"2,634",Portland, OR,"602,568"
1056,"2,634",Elwood, KS,"1,116"
1057,"2,633",Saluda, SC,"3,590"
1058,"2,632",Carlsbad, NM,"26,996"
1059,"2,632",Paterson, NJ,"146,341"
1060,"2,630",Fort Oglethorpe, GA,"9,368"
1061,"2,630",Baxley, GA,"4,419"
1062,"2,630",North Wilkesboro, NC,"4,262"
1063,"2,629",Grand Rapids, MI,"190,739"
1064,"2,628",Jasper, TX,"7,688"
1065,"2,628",Gulfport, MS,"69,913"
1066,"2,628",Lakeland, FL,"99,942"
1067,"2,627",Lufkin, TX,"35,754"
1068,"2,627",Wichita Falls, TX,"104,771"
1069,"2,624",Monticello, NY,"6,780"
1070,"2,623",Crowley, LA,"13,219"
1071,"2,622",Slidell, LA,"27,372"
1072,"2,622",Belleview, FL,"4,585"
1073,"2,622",Elma, WA,"3,048"
1074,"2,622",Gulf Shores, AL,"10,523"
1075,"2,620",Harriman, TN,"6,296"
1076,"2,620",Seneca, SC,"8,147"
1077,"2,620",Edgewater, CO,"5,217"
1078,"2,617",Statesboro, GA,"29,630"
1079,"2,617",Thomasville, AL,"4,136"
1080,"2,616",Smithville, TN,"4,587"
1081,"2,616",Manchester, TN,"10,223"
1082,"2,614",Harrison, AR,"13,103"
1083,"2,614",Tempe, AZ,"166,975"
1084,"2,610",Warner Robins, GA,"71,359"
1085,"2,610",Beech Mountain, NC,561
1086,"2,609",Boston, MA,"639,594"
1087,"2,609",Pinetops, NC,"1,277"
1088,"2,609",Isleton, CA,792
1089,"2,608",Sugar Creek, MO,"3,344"
1090,"2,606",West Hollywood, CA,"35,053"
1091,"2,605",Brockton, MA,"94,267"
1092,"2,605",Madisonville, TN,"4,703"
1093,"2,603",Grenada, MS,"12,951"
1094,"2,600",Jamestown, TN,"1,810"
1095,"2,600",Dos Palos, CA,"5,023"
1096,"2,599",Lindenwold, NJ,"17,512"
1097,"2,599",Flowood, MS,"8,218"
1098,"2,596",Wallace, NC,"3,953"
1099,"2,596",Merced, CA,"80,490"
1100,"2,596",Lake View, SC,815
1101,"2,595",Morrilton, AR,"6,764"
1102,"2,595",Sevierville, TN,"15,592"
1103,"2,593",Asheboro, NC,"25,573"
1104,"2,592",Palmhurst, TX,"2,620"
1105,"2,591",Dover, DE,"36,826"
1106,"2,591",Thomasboro, IL,"1,147"
1107,"2,589",Bowman, SC,776
1108,"2,589",East Carbon, UT,"1,301"
1109,"2,589",Martinsville, IN,"11,756"
1110,"2,586",Kingsville, TX,"26,348"
1111,"2,584",Beebe, AR,"7,688"
1112,"2,583",Austin, IN,"4,294"
1113,"2,582",Fresno, CA,"506,132"
1114,"2,581",Lacy Lakeview, TX,"6,569"
1115,"2,581",Mayodan, NC,"2,756"
1116,"2,578",Wynne, AR,"8,296"
1117,"2,578",Plant City, FL,"35,866"
1118,"2,577",Camp Hill, AL,895
1119,"2,576",Caney City, TX,221
1120,"2,573",Columbus, TX,"3,658"
1121,"2,572",River Rouge, MI,"7,761"
1122,"2,572",Wilton Manors, FL,"11,994"
1123,"2,571",Statham, GA,"2,544"
1124,"2,570",Millsboro, DE,"3,987"
1125,"2,570",Hinesville, GA,"34,253"
1126,"2,570",Gainesville, TX,"16,040"
1127,"2,569",Bethel, AK,"6,295"
1128,"2,569",Federal Heights, CO,"11,835"
1129,"2,569",Ponca City, OK,"24,951"
1130,"2,567",Tallulah, LA,"7,267"
1131,"2,566",Richmond Heights, MO,"8,526"
1132,"2,563",Gladewater, TX,"6,461"
1133,"2,562",Rock Hill, SC,"68,185"
1134,"2,560",Canton, NC,"4,160"
1135,"2,558",Montezuma, GA,"3,338"
1136,"2,558",Antioch, CA,"105,630"
1137,"2,557",Saint Pauls, NC,"2,147"
1138,"2,555",Madras, OR,"6,419"
1139,"2,551",Seminole, OK,"7,493"
1140,"2,550",Sandusky, OH,"25,626"
1141,"2,549",Fairburn, GA,"13,520"
1142,"2,548",Brooklyn Center, MN,"30,549"
1143,"2,547",Broussard, LA,"9,041"
1144,"2,546",Camilla, GA,"5,078"
1145,"2,545",Wagoner, OK,"8,499"
1146,"2,545",Irondale, AL,"12,399"
1147,"2,545",Anchorage, AK,"298,178"
1148,"2,542",Hertford, NC,"2,353"
1149,"2,541",Palestine, TX,"18,611"
1150,"2,541",Boynton Beach, FL,"70,355"
1151,"2,539",Sharon, PA,"13,845"
1152,"2,539",Castle Hills, TX,"4,247"
1153,"2,536",Gilmer, TX,"5,031"
1154,"2,536",Crossett, AR,"5,389"
1155,"2,535",Bakersfield, CA,"358,700"
1156,"2,532",Plainfield, NJ,"50,423"
1157,"2,532",Woodlawn, OH,"3,303"
1158,"2,531",North Riverside, IL,"6,940"
1159,"2,530",El Centro, CA,"43,268"
1160,"2,530",South Houston, TX,"17,323"
1161,"2,526",Warsaw, NC,"3,162"
1162,"2,525",Gretna, LA,"17,801"
1163,"2,525",Remerton, GA,"1,386"
1164,"2,524",Oxford, AL,"21,250"
1165,"2,524",Cartersville, GA,"19,858"
1166,"2,522",Weed, CA,"2,937"
1167,"2,522",Jemison, AL,"2,628"
1168,"2,522",Kilgore, TX,"14,178"
1169,"2,521",Victoria, TX,"64,275"
1170,"2,520",Trotwood, OH,"24,322"
1171,"2,519",Bean Station, TN,"3,072"
1172,"2,519",Park Rapids, MN,"3,894"
1173,"2,518",North, SC,883
1174,"2,517",Rockwood, TN,"5,480"
1175,"2,517",Ridgely, MD,"1,370"
1176,"2,515",Manchester, GA,"4,190"
1177,"2,515",Virginia, MN,"8,671"
1178,"2,515",Pinetop-Lakeside, AZ,"4,297"
1179,"2,513",Edinburg, TX,"79,002"
1180,"2,510",Michigan City, IN,"31,369"
1181,"2,510",Wrens, GA,"2,587"
1182,"2,509",Clewiston, FL,"7,184"
1183,"2,508",Willis, TX,"6,052"
1184,"2,508",Lincoln, NH,754
1185,"2,508",Wolf Point, MT,"2,730"
1186,"2,508",Harrisburg, AR,"2,440"
1187,"2,508",Dothan, AL,"67,574"
1188,"2,508",Natchez, MS,"15,563"
1189,"2,508",Scottsburg, IN,"6,700"
1190,"2,506",Beaver Falls, PA,"8,842"
1191,"2,506",Mercedes, TX,"16,271"
1192,"2,504",Deal, NJ,769
1193,"2,503",Waldron, AR,"3,564"
1194,"2,502",Berryville, AR,"5,329"
1195,"2,501",Tampa, FL,"348,934"
1196,"2,500",Leeds, AL,"12,063"
1197,"2,500",Snead, AL,"1,038"
1198,"2,499",Mcgehee, AR,"4,094"
1199,"2,499",Aberdeen, OH,"1,617"
1200,"2,498",Arcadia, FL,"7,647"
1201,"2,495",Paducah, KY,"25,046"
1202,"2,494",Thomasville, GA,"18,558"
1203,"2,494",Lincolnton, NC,"10,601"
1204,"2,493",San Leandro, CA,"87,159"
1205,"2,491",Zion, IL,"24,292"
1206,"2,491",Dowagiac, MI,"5,822"
1207,"2,491",El Cerrito, CA,"24,136"
1208,"2,488",Clermont, FL,"29,582"
1209,"2,487",Sumner, WA,"9,548"
1210,"2,484",New London, CT,"27,536"
1211,"2,484",Waterloo, IA,"68,392"
1212,"2,482",Bradenton, FL,"50,777"
1213,"2,482",Ephrata, WA,"7,888"
1214,"2,480",Tennille, GA,"1,395"
1215,"2,480",Moriarty, NM,"2,075"
1216,"2,479",Seymour, IN,"18,686"
1217,"2,479",Albion, MI,"8,416"
1218,"2,478",Iowa, LA,"3,083"
1219,"2,477",Notasulga, AL,988
1220,"2,477",Youngsville, NC,"1,366"
1221,"2,476",Salinas, CA,"154,077"
1222,"2,475",Port Huron, MI,"29,534"
1223,"2,475",Calais, ME,"3,063"
1224,"2,474",Newport, OR,"10,045"
1225,"2,474",Ketchikan, AK,"8,173"
1226,"2,474",West Reading, PA,"4,204"
1227,"2,474",Bryan, TX,"78,368"
1228,"2,473",West Burlington, IA,"3,026"
1229,"2,473",Bowling Green, KY,"60,660"
1230,"2,473",Holly Ridge, NC,"1,553"
1231,"2,472",Citronelle, AL,"3,892"
1232,"2,470",Romulus, MI,"23,721"
1233,"2,469",Ogden, UT,"83,767"
1234,"2,469",Steubenville, OH,"18,437"
1235,"2,468",Pagosa Springs, CO,"1,835"
1236,"2,467",Pleasantville, NJ,"20,436"
1237,"2,466",Ruidoso Downs, NM,"2,722"
1238,"2,466",Lyons, NY,"3,343"
1239,"2,464",Paris, TN,"10,165"
1240,"2,464",Dora, AL,"2,253"
1241,"2,464",Pawhuska, OK,"3,679"
1242,"2,461",Elkin, NC,"4,198"
1243,"2,460",Cadillac, MI,"10,306"
1244,"2,459",Lake City, TN,"1,773"
1245,"2,457",Clayton, GA,"1,945"
1246,"2,457",Adel, GA,"5,294"
1247,"2,457",Omaha, NE,"435,454"
1248,"2,457",Warsaw, MO,"2,124"
1249,"2,456",Bushnell, FL,"3,026"
1250,"2,456",Durango, CO,"17,268"
1251,"2,456",New Albany, IN,"36,496"
1252,"2,455",Austin, TX,"864,218"
1253,"2,455",Ayden, NC,"5,018"
1254,"2,454",Arlington, TX,"375,305"
1255,"2,453",Vonore, TN,"1,585"
1256,"2,452",Waveland, MS,"6,463"
1257,"2,451",Mount Vernon, WA,"32,356"
1258,"2,451",Bates City, MO,243
1259,"2,450",Cle Elum, WA,"2,551"
1260,"2,450",Hattiesburg, MS,"46,629"
1261,"2,449",Port Angeles, WA,"19,125"
1262,"2,449",Utica, NY,"61,852"
1263,"2,448",Beverly Hills, MO,440
1264,"2,448",South Haven, MI,"4,367"
1265,"2,447",Neptune, NJ,0
1266,"2,447",Hemet, CA,"81,203"
1267,"2,447",Penns Grove, NJ,"5,082"
1268,"2,447",Lancaster, TX,"37,731"
1269,"2,446",Grand Junction, CO,"59,731"
1270,"2,446",Hopewell, VA,"22,375"
1271,"2,446",Arley, AL,453
1272,"2,446",Titusville, FL,"44,032"
1273,"2,445",Toccoa, GA,"8,327"
1274,"2,445",Arvin, CA,"20,028"
1275,"2,444",Denver, CO,"633,777"
1276,"2,443",Magnolia, AR,"11,681"
1277,"2,443",Albion, NY,"5,799"
1278,"2,443",Sunnyside, WA,"16,038"
1279,"2,442",Johnston, SC,"2,216"
1280,"2,442",Idaho Springs, CO,"1,971"
1281,"2,441",Henning, TN,887
1282,"2,441",Kimball, TN,"1,349"
