Rank,Population Growth Rate,City,State,Population
28666,-56.82%,Alto Bonito Heights, TX,415
5895,25.26%,Alto Pass, IL,486
339,236.11%,Alton, TX,"14,735"
1735,75.60%,Alton, MO,"1,173"
9083,13.68%,Alton, KS,133
11224,8.68%,Alton, IA,"1,190"
22200,-9.77%,Alton, IL,"27,517"
23756,-14.18%,Alton, UT,115
26187,-24.53%,Alton, IN,40
28369,-49.49%,Alton, NH,397
1601,80.13%,Altona, CO,544
5282,28.79%,Altona, IN,255
24118,-15.44%,Altona, IL,482
25565,-21.21%,Altona, NY,832
3107,48.06%,Altoona, IA,"15,317"
5952,25.00%,Altoona, WA,40
7949,17.05%,Altoona, FL,103
14096,3.61%,Altoona, WI,"6,940"
20919,-7.14%,Altoona, PA,"45,987"
25183,-19.59%,Altoona, KS,390
25789,-22.36%,Altoona, AL,764
9771,11.99%,Altura, MN,467
10684,9.85%,Alturas, FL,"3,948"
20410,-6.15%,Alturas, CA,"2,714"
14362,3.18%,Altus, AR,843
21411,-8.07%,Altus, OK,"19,716"
16826,-0.38%,Alum Creek, WV,"1,832"
24919,-18.45%,Alum Rock, CA,"10,992"
20126,-5.64%,Alva, OK,"4,990"
20594,-6.51%,Alva, FL,"2,040"
27005,-30.52%,Alvan Village, IL,255
7737,17.79%,Alvarado, MN,437
8089,16.55%,Alvarado, TX,"3,832"
8116,16.46%,Alvin, TX,"24,938"
10993,9.15%,Alvo, NE,155
2892,51.24%,Alvord, TX,"1,523"
5719,26.20%,Alvord, IA,236
27556,-36.07%,Alvordton, OH,195
147,428.57%,Alzada, MT,37
12626,5.99%,Ama, LA,"1,362"
22334,-10.16%,Amada Acres, TX,115
27840,-39.64%,Amado, AZ,166
24379,-16.33%,Amador City, CA,164
5586,26.99%,Amagansett, NY,"1,355"
19244,-4.21%,Amagon, AR,91
6295,23.42%,Amalga, UT,527
25318,-20.10%,Amana, IA,334
19868,-5.23%,Amanda, OH,670
10293,10.76%,Amanda Park, WA,175
29249,-97.99%,Amargosa Colonia, TX,5
9654,12.27%,Amarillo, TX,"194,930"
13552,4.46%,Amasa, MI,351
5223,29.17%,Amaya Colonia, TX,31
18229,-2.53%,Amazonia, MO,270
26751,-28.16%,Amber, OK,352
26413,-25.86%,Amberg, WI,172
13424,4.67%,Amberley, OH,"3,585"
5098,29.95%,Ambia, IN,256
12358,6.47%,Ambler, AK,329
15938,0.86%,Ambler, PA,"6,481"
18697,-3.33%,Amboy, IN,348
22062,-9.45%,Amboy, IL,"2,319"
23459,-13.22%,Amboy, MN,499
26338,-25.28%,Amboy, WA,"1,558"
22373,-10.25%,Ambridge, PA,"6,973"
2559,56.88%,Ambrose, GA,502
9332,13.04%,Ambrose, ND,26
1301,93.42%,Amelia, OH,"5,323"
20040,-5.49%,Amelia, LA,"2,290"
28410,-50.30%,Amelia Court House, VA,825
3768,40.45%,Amenia, ND,125
10796,9.60%,Amenia, NY,"1,222"
1083,105.54%,American Canyon, CA,"20,089"
12070,6.98%,American Falls, ID,"4,398"
6015,24.73%,American Fork, UT,"27,366"
18312,-2.68%,Americus, GA,"16,557"
23160,-12.37%,Americus, KS,822
24695,-17.57%,Americus, IN,535
15458,1.58%,Amery, WI,"2,890"
175,368.75%,Ames, NE,75
5464,27.64%,Ames, OK,254
6931,20.79%,Ames, IA,"61,276"
10295,10.75%,Ames, TX,"1,195"
15333,1.73%,Ames, NY,176
23767,-14.22%,Ames Lake, WA,"1,231"
17123,-0.83%,Amesbury, MA,"12,225"
15151,2.03%,Amesbury Town, MA,"16,554"
4798,31.90%,Amesti, CA,"3,213"
24525,-16.85%,Amesville, OH,153
6548,22.41%,Amherst, WI,"1,180"
7155,19.97%,Amherst, TX,949
7847,17.41%,Amherst, VA,"2,643"
14917,2.40%,Amherst, OH,"12,080"
23500,-13.36%,Amherst, NE,240
27620,-36.86%,Amherst, NH,490
28389,-50.00%,Amherst, CO,35
8727,14.62%,Amherst Center, MA,"19,543"
5369,28.20%,Amherst Junction, WI,391
28065,-43.38%,Amherstdale, WV,201
6385,23.08%,Amidon, ND,32
28102,-44.00%,Amistad Acres, TX,14
14472,3.02%,Amite City, LA,"4,234"
12580,6.09%,Amity, OR,"1,568"
15461,1.57%,Amity, AR,774
28898,-65.71%,Amity, MO,24
18121,-2.37%,Amity Gardens, PA,"3,290"
15738,1.17%,Amityville, NY,"9,551"
809,130.43%,Ammon, ID,"14,257"
7256,19.57%,Amo, IN,495
21153,-7.58%,Amoret, MO,195
29248,-97.73%,Amorita, OK,1
14181,3.46%,Amory, MS,"7,197"
8824,14.36%,Amsterdam, MT,207
16584,-0.04%,Amsterdam, NY,"18,348"
19901,-5.28%,Amsterdam, OH,538
24183,-15.66%,Amsterdam, MO,237
6085,24.36%,Anacoco, LA,"1,077"
17806,-1.85%,Anaconda-Deer Lodge County, MT,"9,243"
10759,9.67%,Anacortes, WA,"15,965"
29229,-92.98%,Anacua, TX,12
15072,2.12%,Anadarko, OK,"6,786"
13480,4.56%,Anaheim, CA,"342,973"
10691,9.83%,Anahola, HI,"2,122"
19452,-4.52%,Anahuac, TX,"2,110"
24650,-17.38%,Anaktuvuk Pass, AK,233
20335,-6.03%,Anamoose, ND,265
16109,0.58%,Anamosa, IA,"5,526"
25720,-22.06%,Anawalt, WV,212
26393,-25.71%,Anchor, IL,130
25385,-20.38%,Anchor Bay, CA,254
7493,18.64%,Anchor Point, AK,"2,189"
8755,14.56%,Anchorage, AK,"298,178"
19648,-4.86%,Anchorage, KY,"2,154"
803,131.32%,Ancient Oaks, PA,"7,312"
8665,14.75%,Andale, KS,879
3806,40.10%,Andalusia, IL,"1,471"
14573,2.89%,Andalusia, AL,"9,048"
4396,35.13%,Anderson, MO,"2,508"
9935,11.57%,Anderson, CA,"10,066"
13182,5.03%,Anderson, SC,"26,798"
19029,-3.89%,Anderson, TX,247
20647,-6.60%,Anderson, IN,"55,789"
21866,-9.04%,Anderson, AL,322
26907,-29.61%,Anderson, NJ,252
26948,-29.97%,Anderson, AK,257
28355,-49.22%,Anderson, SD,229
29061,-75.51%,Anderson, IA,12
18682,-3.31%,Anderson Island, WA,877
3362,45.12%,Andersonville, TN,238
7124,20.05%,Andersonville, OH,886
26944,-29.91%,Andersonville, GA,232
26137,-24.22%,Andes, NY,219
1581,80.85%,Andover, KS,"12,113"
7795,17.61%,Andover, MN,"31,271"
8224,16.09%,Andover, IA,101
9222,13.33%,Andover, MA,"8,953"
14574,2.89%,Andover, NJ,677
17911,-2.02%,Andover, IL,582
23093,-12.12%,Andover, SD,87
25020,-18.91%,Andover, OH,"1,029"
25252,-19.85%,Andover, NY,860
23473,-13.26%,Andrew, IA,399
1958,69.21%,Andrews, FL,"1,198"
5751,25.98%,Andrews, TX,"12,160"
6580,22.28%,Andrews, NC,"1,959"
21089,-7.46%,Andrews, SC,"2,839"
23945,-14.81%,Andrews, IN,"1,099"
28695,-57.65%,Andrews, MD,"3,356"
74,670.00%,Anegam, AZ,77
17964,-2.11%,Aneta, ND,278
26822,-28.76%,Aneth, UT,426
10282,10.78%,Angel Fire, NM,"1,161"
17229,-1.00%,Angelica, NY,894
26159,-24.35%,Angelica, WI,87
15348,1.72%,Angels, CA,"3,782"
13469,4.58%,Angie, LA,251
3925,39.22%,Angier, NC,"4,760"
28854,-63.77%,Angle Inlet, MN,25
13215,4.99%,Angleton, TX,"19,034"
7905,17.24%,Angola, IN,"8,610"
25279,-19.99%,Angola, NY,"1,813"
18427,-2.88%,Angola On The Lake, NY,"1,720"
26646,-27.27%,Angoon, AK,416
27688,-37.60%,Anguilla, MS,566
9163,13.47%,Angus, TX,379
9029,13.82%,Angwin, CA,"3,583"
21971,-9.27%,Aniak, AK,519
25816,-22.51%,Animas, NM,148
22926,-11.63%,Anita, IA,927
22689,-11.03%,Aniwa, WI,242
1533,82.50%,Ankeny, IA,"49,488"
5683,26.42%,Anmoore, WV,866
15350,1.72%,Ann Arbor, MI,"115,985"
80,643.51%,Anna, TX,"9,108"
10866,9.48%,Anna, OH,"1,444"
23890,-14.62%,Anna, IL,"4,385"
27250,-32.80%,Anna Maria, FL,"1,219"
3090,48.26%,Annabella, UT,894
11382,8.33%,Annada, MO,52
6590,22.24%,Annandale, MN,"3,281"
10588,10.03%,Annandale, NJ,"1,404"
25506,-20.94%,Annandale, VA,"43,479"
4355,35.48%,Annapolis, MO,420
